2310 22744
325 1517 15
326 1619 18
327 411 18
328 1835 48
329 153 3
330 2129 78
331 2108 72
332 1894 60
333 401 15
334 1335 24
335 1044 27
336 1797 18
337 1929 39
338 2185 6
339 1261 6
340 1002 51
341 940 9
342 853 6
343 1806 66
344 1975 63
345 2288 42
346 1239 42
347 128 27
348 850 6
349 1832 60
350 1261 12
351 319 6
352 612 54
353 1943 57
354 826 45
355 202 42
356 1299 21
357 1639 78
358 1201 60
359 1285 75
360 2127 54
361 2287 60
362 195 66
363 1799 39
364 1824 48
365 2150 57
366 657 15
367 1262 45
368 1891 81
369 2127 15
370 922 36
371 2141 33
372 252 12
373 859 54
374 2193 18
375 2192 57
376 450 21
377 256 24
378 449 54
379 875 45
380 2056 84
381 2049 72
382 1356 42
383 2074 36
384 48 39
385 643 51
386 739 54
387 1699 75
388 1892 18
389 1375 51
390 1783 27
391 1382 45
392 2211 60
393 1927 63
394 1818 57
395 2262 81
396 425 6
397 1223 42
398 476 39
399 941 57
400 380 75
401 2126 75
402 2070 6
403 1780 66
404 852 15
405 1438 15
406 6 63
407 528 6
408 1452 30
409 1690 57
410 1966 75
411 1759 30
412 204 84
413 63 39
414 1298 66
415 712 60
416 1755 66
417 756 42
418 66 75
419 1324 30
420 877 30
421 1941 84
422 368 51
423 804 84
424 18 18
425 1661 3
426 1947 6
427 1928 57
428 777 15
429 1273 27
430 1234 51
431 1522 78
432 1156 45
433 595 60
434 1647 21
435 621 48
436 207 63
437 466 45
438 425 27
439 1576 63
440 391 30
441 974 6
442 566 66
443 1615 27
444 1396 60
445 1935 51
446 1356 6
447 1391 36
448 1576 45
449 778 57
450 1796 57
451 1562 39
452 1110 45
453 2166 36
454 1877 54
455 2040 9
456 606 21
457 381 45
458 1386 69
459 1770 18
460 1181 27
461 2139 3
462 890 84
463 1364 36
464 1409 72
465 749 27
466 2103 27
467 1919 81
468 1965 18
469 430 78
470 167 54
471 1991 60
472 1668 39
473 22 66
474 404 84
475 204 75
476 1989 72
477 1977 84
478 836 30
479 467 18
480 1265 18
481 1651 36
482 271 54
483 873 6
484 2021 42
485 1417 39
486 754 72
487 629 54
488 231 12
489 39 39
490 379 63
491 1491 75
492 768 81
493 175 63
494 252 51
495 174 75
496 1777 63
497 1623 60
498 1401 42
499 1824 30
500 66 81
501 794 33
502 1320 72
503 970 78
504 1059 39
505 576 66
506 819 63
507 1560 54
508 1884 42
509 567 9
510 643 3
511 1460 60
512 651 54
513 1505 51
514 1120 60
515 67 45
516 169 54
517 102 66
518 589 54
519 2007 63
520 2 39
521 1472 40
522 1002 78
523 1062 18
524 1481 66
525 1576 39
526 263 63
527 1876 81
528 1029 12
529 1444 6
530 46 72
531 644 57
532 44 54
533 59 78
534 2276 42
535 463 60
536 2022 57
537 564 18
538 1980 51
539 1458 54
540 751 3
541 1320 12
542 449 78
543 2094 42
544 2220 36
545 2284 84
546 1939 33
547 1860 9
548 279 60
549 1537 48
550 1084 9
551 1961 6
552 2165 72
553 2010 63
554 918 9
555 2131 63
556 1756 48
557 1328 51
558 2001 6
559 978 33
560 476 78
561 1192 69
562 989 54
563 1828 63
564 1097 60
565 1945 36
566 1869 48
567 1612 36
568 1276 33
569 1669 21
570 1647 60
571 42 9
572 166 15
573 358 33
574 523 15
575 2210 9
576 2026 69
577 750 60
578 2097 27
579 1804 3
580 278 75
581 236 63
582 168 69
583 55 30
584 164 3
585 2124 39
586 1837 48
587 106 6
588 859 30
589 1581 63
590 1210 18
591 2040 33
592 2259 72
593 2137 3
594 1692 63
595 330 69
596 554 48
597 1699 15
598 436 51
599 70 54
600 604 54
601 876 9
602 1934 78
603 597 69
604 1744 9
605 2239 15
606 171 69
607 168 15
608 1978 27
609 215 39
610 1560 45
611 670 27
612 2214 69
613 92 51
614 623 69
615 1686 48
616 1599 72
617 512 51
618 749 72
619 2237 18
620 1907 33
621 2098 81
622 2222 45
623 513 6
624 1699 75
625 271 78
626 1852 72
627 1274 72
628 1196 54
629 94 3
630 124 75
631 22 39
632 75 15
633 1543 72
634 2180 39
635 13 36
636 2073 9
637 408 81
638 1300 60
639 161 36
640 748 84
641 1120 6
642 333 27
643 577 39
644 28 84
645 666 81
646 1650 63
647 1737 27
648 1859 57
649 1631 36
650 1346 12
651 1584 12
652 217 69
653 677 24
654 1051 60
655 1323 45
656 2246 63
657 2063 3
658 1915 78
659 1984 69
660 1720 81
661 1562 12
662 2213 54
663 68 48
664 1801 48
665 1291 75
666 1341 60
667 939 54
668 2191 24
669 1793 60
670 269 9
671 1185 21
672 1613 81
673 728 84
674 634 54
675 1623 39
676 1063 81
677 863 66
678 1409 42
679 1312 72
680 243 6
681 2138 72
682 677 33
683 1507 84
684 1853 30
685 335 30
686 1489 36
687 1596 51
688 2168 66
689 40 18
690 2214 6
691 1594 12
692 958 33
693 272 39
694 1281 3
695 1657 66
696 804 75
697 1803 72
698 1644 15
699 1903 72
700 265 9
701 1514 84
702 1662 24
703 2079 42
704 1570 42
705 1214 39
706 1832 6
707 33 63
708 628 6
709 2130 42
710 1353 78
711 1898 69
712 1443 72
713 1232 45
714 1066 39
715 938 33
716 1766 57
717 604 27
718 2131 75
719 597 78
720 1968 33
721 2250 78
722 577 63
723 1048 63
724 861 51
725 20 6
726 1921 75
727 1233 72
728 1969 27
729 1373 42
730 370 39
731 873 15
732 1626 42
733 1452 51
734 470 3
735 1299 48
736 217 9
737 477 72
738 273 24
739 2106 51
740 771 3
741 909 42
742 703 57
743 36 9
744 1811 33
745 1867 6
746 1141 12
747 2257 75
748 762 24
749 1765 39
750 1474 3
751 806 6
752 1282 45
753 1161 39
754 898 63
755 1118 9
756 956 42
757 1272 75
758 79 15
759 1824 6
760 1283 60
761 2050 75
762 1114 57
763 422 51
764 1882 36
765 1774 51
766 2220 45
767 2269 75
768 1850 15
769 326 63
770 891 84
771 813 13
772 1671 9
773 533 51
774 1585 60
775 1469 48
776 49 51
777 258 24
778 1070 48
779 447 69
780 2093 57
781 96 3
782 461 45
783 1429 42
784 2192 36
785 1567 21
786 1371 42
787 1110 21
788 1826 6
789 218 6
790 289 18
791 2126 45
792 1568 27
793 453 60
794 828 57
795 463 9
796 1683 6
797 375 42
798 2021 57
799 2077 30
800 1811 6
801 335 30
802 975 6
803 815 6
804 813 21
805 698 84
806 177 9
807 1677 81
808 78 78
809 1304 54
810 1367 78
811 565 75
812 2213 63
813 1868 39
814 536 42
815 2269 6
816 1753 51
817 924 72
818 1327 24
819 853 51
820 1360 15
821 1887 42
822 1444 12
823 663 81
824 545 24
825 1578 54
826 1125 51
827 1835 66
828 893 66
829 1985 27
830 353 78
831 1200 45
832 410 24
833 1004 18
834 2205 69
835 34 36
836 2055 36
837 1542 48
838 1341 6
839 1533 12
840 966 6
841 950 60
842 218 39
843 541 12
844 791 81
845 989 6
846 967 54
847 1282 3
848 372 84
849 1349 84
850 1848 15
851 2234 6
852 200 18
853 1526 57
854 568 81
855 1637 42
856 1306 69
857 406 51
858 2211 78
859 2295 24
860 1530 6
861 243 42
862 2242 84
863 1714 6
864 2174 75
865 1271 72
866 1234 15
867 761 84
868 512 60
869 391 63
870 194 69
871 503 6
872 703 57
873 416 51
874 1487 72
875 751 18
876 1850 27
877 746 84
878 251 54
879 1255 30
880 2307 42
881 2243 21
882 686 39
883 1499 48
884 125 60
885 910 81
886 751 21
887 684 54
888 936 6
889 2299 63
890 1809 12
891 948 6
892 1820 51
893 881 12
894 2296 69
895 110 18
896 539 36
897 1270 36
898 1687 81
899 1284 3
900 1680 63
901 330 51
902 925 78
903 1712 45
904 1707 45
905 1541 42
906 683 54
907 493 75
908 1014 18
909 1710 18
910 333 24
911 85 6
912 1801 75
913 1833 78
914 1870 6
915 2173 15
916 1141 81
917 2160 66
918 751 63
919 1640 42
920 1584 6
921 1565 24
922 1704 66
923 809 48
924 1799 6
925 1890 6
926 1862 3
927 1718 84
928 1707 27
929 1943 33
930 1855 51
931 640 81
932 1040 9
933 1669 48
934 326 72
935 1642 24
936 1506 6
937 76 24
938 2306 72
939 1511 24
940 150 84
941 2180 51
942 2291 48
943 1524 51
944 2073 30
945 1099 9
946 416 27
947 77 12
948 1773 48
949 754 18
950 1983 30
951 718 36
952 1278 60
953 1196 42
954 292 18
955 406 15
956 943 36
957 298 69
958 1113 9
959 141 69
960 1059 81
961 1054 39
962 105 84
963 1373 75
964 1448 33
965 619 36
966 1643 51
967 471 39
968 939 57
969 748 39
970 227 39
971 1369 81
972 2085 81
973 1995 6
974 2176 48
975 618 66
976 1622 30
977 945 81
978 1510 66
979 1202 18
980 1661 33
981 1490 18
982 469 75
983 600 84
984 492 48
985 1490 33
986 419 54
987 18 51
988 2024 27
989 2068 21
990 1762 39
991 2288 9
992 2120 57
993 2222 45
994 23 60
995 1152 3
996 23 63
997 1380 84
998 1302 33
999 1980 45
1000 211 30
1001 1253 78
1002 7 33
1003 1234 45
1004 1694 21
1005 1920 12
1006 1702 48
1007 1696 69
1008 1086 18
1009 406 81
1010 745 75
1011 637 72
1012 1948 18
1013 1521 63
1014 90 3
1015 1696 33
1016 1606 51
1017 1183 6
1018 115 66
1019 850 81
1020 473 60
1021 2283 15
1022 728 9
1023 1126 72
1024 637 66
1025 2268 54
1026 1614 24
1027 1885 30
1028 1259 9
1029 836 63
1030 179 81
1031 50 42
1032 1740 63
1033 1426 27
1034 1023 45
1035 922 18
1036 1227 81
1037 60 75
1038 503 12
1039 440 66
1040 236 57
1041 20 24
1042 1939 45
1043 1696 6
1044 292 15
1045 350 69
1046 758 3
1047 391 78
1048 106 6
1049 1516 60
1050 2167 15
1051 2238 21
1052 737 81
1053 243 27
1054 360 6
1055 310 33
1056 194 72
1057 766 48
1058 2167 75
1059 2302 36
1060 1946 51
1061 935 33
1062 1692 3
1063 1716 30
1064 1841 21
1065 1237 6
1066 17 57
1067 2236 60
1068 1124 57
1069 434 81
1070 1062 9
1071 602 72
1072 749 27
1073 1769 81
1074 1110 51
1075 200 6
1076 1822 60
1077 695 42
1078 1366 27
1079 138 24
1080 953 51
1081 1861 69
1082 715 6
1083 1708 30
1084 676 30
1085 1007 42
1086 831 15
1087 1685 33
1088 99 4
1089 2202 21
1090 1358 75
1091 1941 48
1092 11 12
1093 506 12
1094 150 63
1095 2227 69
1096 1564 39
1097 1560 84
1098 622 18
1099 1738 39
1100 1960 30
1101 570 9
1102 972 63
1103 2120 66
1104 1028 36
1105 2242 39
1106 342 12
1107 406 18
1108 2192 6
1109 1423 12
1110 247 81
1111 210 30
1112 95 57
1113 1514 12
1114 1493 60
1115 600 15
1116 1576 6
1117 1198 54
1118 541 84
1119 605 21
1120 1259 75
1121 855 51
1122 1157 60
1123 168 48
1124 815 54
1125 495 6
1126 916 60
1127 1049 63
1128 171 27
1129 1999 60
1130 1832 66
1131 595 57
1132 2230 30
1133 135 57
1134 1041 60
1135 752 3
1136 402 60
1137 167 18
1138 1007 75
1139 775 63
1140 1968 63
1141 1998 18
1142 184 39
1143 2174 66
1144 452 45
1145 213 66
1146 1222 78
1147 2005 75
1148 2029 18
1149 2196 39
1150 2033 6
1151 1958 69
1152 730 51
1153 1152 36
1154 874 42
1155 507 81
1156 1919 18
1157 1676 84
1158 551 39
1159 1307 81
1160 1082 24
1161 1387 81
1162 406 27
1163 627 18
1164 564 9
1165 1645 51
1166 903 51
1167 2119 63
1168 1049 84
1169 1011 75
1170 201 18
1171 613 60
1172 1060 42
1173 921 21
1174 878 72
1175 1624 75
1176 1226 33
1177 508 27
1178 1476 84
1179 2005 21
1180 1705 48
1181 1992 60
1182 2032 81
1183 1368 66
1184 1094 78
1185 49 81
1186 1111 84
1187 379 69
1188 113 84
1189 1741 12
1190 2166 27
1191 1794 36
1192 2228 9
1193 1099 15
1194 1635 66
1195 631 33
1196 1658 57
1197 818 30
1198 2002 6
1199 34 51
1200 1873 6
1201 825 15
1202 875 84
1203 1058 66
1204 977 37
1205 1912 78
1206 1163 81
1207 2013 69
1208 1447 72
1209 1464 54
1210 1864 39
1211 1380 48
1212 2180 45
1213 1330 15
1214 2020 33
1215 1778 21
1216 43 57
1217 664 57
1218 235 30
1219 1633 39
1220 257 66
1221 1830 27
1222 1379 69
1223 70 57
1224 1734 12
1225 238 27
1226 603 9
1227 1484 48
1228 252 12
1229 806 54
1230 1602 54
1231 1002 18
1232 64 81
1233 1822 18
1234 280 18
1235 377 33
1236 1052 66
1237 1527 36
1238 1376 27
1239 1094 9
1240 1589 51
1241 1682 3
1242 1283 33
1243 2202 45
1244 1756 27
1245 1148 45
1246 149 33
1247 1855 42
1248 1102 66
1249 1628 78
1250 523 75
1251 322 6
1252 1415 48
1253 1521 69
1254 240 78
1255 1532 84
1256 1787 3
1257 815 81
1258 867 21
1259 1040 27
1260 1985 9
1261 1583 69
1262 204 63
1263 263 21
1264 2191 51
1265 726 12
1266 1944 9
1267 1383 45
1268 1060 27
1269 1541 75
1270 2296 21
1271 586 81
1272 353 30
1273 1595 51
1274 2078 72
1275 1265 75
1276 27 18
1277 1824 57
1278 1155 33
1279 1074 42
1280 1693 15
1281 2073 24
1282 1980 54
1283 29 75
1284 242 45
1285 1011 51
1286 1936 3
1287 1063 81
1288 878 75
1289 354 54
1290 1286 15
1291 2121 21
1292 1867 69
1293 736 3
1294 1062 78
1295 1645 84
1296 1458 75
1297 386 27
1298 1750 45
1299 398 63
1300 2068 72
1301 455 33
1302 370 6
1303 187 81
1304 1892 45
1305 1383 36
1306 103 63
1307 1891 3
1308 956 45
1309 1349 27
1310 1456 27
1311 838 24
1312 1991 60
1313 1939 69
1314 2202 75
1315 697 3
1316 365 45
1317 2248 60
1318 641 45
1319 2078 30
1320 251 57
1321 1443 6
1322 2067 78
1323 2156 45
1324 68 21
1325 2225 36
1326 1634 81
1327 329 39
1328 448 42
1329 1782 27
1330 338 12
1331 1178 6
1332 172 72
1333 1989 45
1334 633 66
1335 37 21
1336 1923 9
1337 207 48
1338 1996 54
1339 1299 75
1340 92 45
1341 467 36
1342 319 78
1343 1624 24
1344 1093 33
1345 994 33
1346 1560 9
1347 651 3
1348 1079 54
1349 748 9
1350 2219 84
1351 1135 27
1352 283 33
1353 970 75
1354 1008 36
1355 809 63
1356 1419 69
1357 960 54
1358 1225 27
1359 202 84
1360 2282 33
1361 1562 24
1362 794 72
1363 1047 69
1364 1331 72
1365 1697 63
1366 1111 42
1367 411 9
1368 1227 18
1369 887 30
1370 1359 24
1371 770 42
1372 1457 9
1373 752 51
1374 56 51
1375 2195 6
1376 542 45
1377 1855 81
1378 1329 84
1379 1509 66
1380 1755 69
1381 770 54
1382 1421 15
1383 11 45
1384 639 51
1385 1582 78
1386 1359 36
1387 94 48
1388 795 69
1389 901 36
1390 972 45
1391 65 42
1392 665 60
1393 1342 69
1394 2179 84
1395 2086 6
1396 794 21
1397 45 75
1398 1370 60
1399 2181 24
1400 568 81
1401 2218 12
1402 2153 63
1403 507 36
1404 966 24
1405 367 66
1406 877 27
1407 44 24
1408 1687 60
1409 341 24
1410 512 15
1411 1925 45
1412 1052 6
1413 2086 66
1414 221 75
1415 522 75
1416 1023 12
1417 2112 48
1418 2249 69
1419 618 15
1420 1755 24
1421 212 69
1422 816 30
1423 222 15
1424 1299 81
1425 1967 45
1426 587 45
1427 983 39
1428 475 51
1429 156 24
1430 1015 3
1431 327 60
1432 361 60
1433 2069 66
1434 2236 45
1435 2157 78
1436 1273 36
1437 827 48
1438 1145 6
1439 501 36
1440 2085 42
1441 1343 36
1442 1020 21
1443 1513 72
1444 1595 36
1445 1079 36
1446 1941 21
1447 459 72
1448 2043 33
1449 1894 63
1450 243 66
1451 2121 24
1452 2121 60
1453 1603 36
1454 892 84
1455 2018 60
1456 566 81
1457 586 18
1458 1280 84
1459 1494 51
1460 881 33
1461 126 45
1462 1557 78
1463 1922 78
1464 945 24
1465 1605 57
1466 4 9
1467 1937 84
1468 238 36
1469 624 78
1470 2131 9
1471 789 21
1472 833 75
1473 1719 24
1474 913 36
1475 506 42
1476 368 69
1477 1507 33
1478 561 45
1479 2004 72
1480 1458 75
1481 1706 78
1482 460 27
1483 917 21
1484 464 33
1485 1234 66
1486 1777 33
1487 2174 81
1488 2223 81
1489 1934 12
1490 1509 42
1491 577 12
1492 1345 21
1493 190 3
1494 20 54
1495 404 3
1496 1581 6
1497 1642 57
1498 921 3
1499 185 21
1500 1883 24
1501 1946 27
1502 830 30
1503 1886 15
1504 2092 36
1505 1372 66
1506 1773 60
1507 1986 6
1508 1364 36
1509 1332 84
1510 1773 6
1511 1 39
1512 242 39
1513 246 84
1514 1835 3
1515 1002 39
1516 1905 24
1517 1179 27
1518 1968 66
1519 90 21
1520 1284 75
1521 1485 75
1522 1182 3
1523 1411 84
1524 1642 60
1525 23 42
1526 1498 6
1527 1807 75
1528 1876 75
1529 975 18
1530 706 57
1531 1301 33
1532 119 33
1533 974 12
1534 1767 75
1535 1381 3
1536 2282 54
1537 107 60
1538 2296 6
1539 137 33
1540 931 12
1541 115 6
1542 2234 18
1543 2197 51
1544 717 69
1545 662 18
1546 1493 12
1547 1674 60
1548 2068 3
1549 1547 81
1550 1099 69
1551 999 9
1552 1506 3
1553 25 30
1554 804 60
1555 895 63
1556 528 3
1557 1535 36
1558 1070 27
1559 205 18
1560 725 15
1561 786 21
1562 837 36
1563 1060 60
1564 606 54
1565 321 42
1566 994 60
1567 1927 12
1568 1271 48
1569 1813 6
1570 2082 24
1571 988 81
1572 385 81
1573 1690 60
1574 644 39
1575 452 12
1576 200 12
1577 1922 54
1578 1316 45
1579 55 12
1580 1722 42
1581 2042 36
1582 1250 33
1583 1720 42
1584 1852 6
1585 1329 66
1586 13 12
1587 167 33
1588 2034 78
1589 2149 33
1590 2192 78
1591 360 72
1592 1085 81
1593 1238 9
1594 1078 84
1595 1917 45
1596 509 60
1597 1944 60
1598 1091 6
1599 747 36
1600 774 69
1601 1366 72
1602 807 12
1603 1093 15
1604 1639 84
1605 2268 63
1606 922 54
1607 568 60
1608 473 57
1609 2223 69
1610 2108 6
1611 1008 33
1612 536 15
1613 887 63
1614 2092 60
1615 2191 57
1616 821 75
1617 2197 57
1618 1895 21
1619 2212 33
1620 1873 60
1621 96 54
1622 1888 69
1623 236 84
1624 812 21
1625 1838 72
1626 1539 39
1627 1226 60
1628 1598 42
1629 946 24
1630 1364 3
1631 1130 24
1632 1332 54
1633 15 75
1634 1750 6
1635 221 69
1636 444 78
1637 1523 60
1638 1132 48
1639 336 21
1640 1741 60
1641 899 18
1642 493 69
1643 2291 51
1644 529 21
1645 1676 12
1646 1719 36
1647 1176 42
1648 360 24
1649 1723 18
1650 889 15
1651 503 24
1652 2227 72
1653 675 6
1654 996 75
1655 398 66
1656 918 18
1657 379 57
1658 250 18
1659 1808 21
1660 2310 51
1661 959 75
1662 407 36
1663 665 30
1664 1369 72
1665 1207 69
1666 1603 69
1667 491 36
1668 81 18
1669 1867 15
1670 1244 21
1671 1668 78
1672 1800 60
1673 1098 66
1674 2167 51
1675 196 75
1676 697 3
1677 994 12
1678 438 81
1679 1597 21
1680 240 66
1681 1754 24
1682 1024 9
1683 2281 30
1684 388 30
1685 2176 6
1686 2105 48
1687 2064 84
1688 2243 21
1689 47 72
1690 1096 18
1691 1690 9
1692 1775 6
1693 1978 60
1694 569 48
1695 696 12
1696 58 6
1697 1569 3
1698 1275 3
1699 2001 3
1700 1866 39
1701 2301 51
1702 2269 36
1703 1893 12
1704 1587 72
1705 2095 81
1706 1173 39
1707 782 15
1708 2116 60
1709 1492 60
1710 329 30
1711 1275 9
1712 1831 30
1713 959 54
1714 629 45
1715 1751 63
1716 1485 12
1717 1327 15
1718 795 21
1719 1754 45
1720 504 12
1721 310 15
1722 1068 33
1723 1711 18
1724 164 18
1725 1434 6
1726 1021 24
1727 2066 15
1728 1118 30
1729 2178 9
1730 1137 57
1731 1612 15
1732 1781 6
1733 652 45
1734 827 75
1735 342 84
1736 843 3
1737 837 36
1738 530 6
1739 977 6
1740 469 39
1741 391 51
1742 1699 54
1743 1091 72
1744 223 48
1745 242 27
1746 1577 33
1747 2168 51
1748 229 81
1749 1676 66
1750 2025 42
1751 841 6
1752 2106 6
1753 368 21
1754 372 33
1755 841 51
1756 767 9
1757 1574 3
1758 1860 81
1759 1497 42
1760 468 54
1761 722 9
1762 1462 15
1763 95 63
1764 1508 45
1765 813 33
1766 2011 18
1767 1643 15
1768 139 51
1769 855 6
1770 175 57
1771 850 12
1772 2127 66
1773 1285 60
1774 61 66
1775 2216 78
1776 676 54
1777 1951 9
1778 1772 75
1779 1298 33
1780 2019 30
1781 1896 60
1782 1952 72
1783 2046 57
1784 880 30
1785 1634 6
1786 351 57
1787 1960 24
1788 1174 51
1789 158 36
1790 1621 30
1791 468 33
1792 152 60
1793 1262 75
1794 2255 36
1795 571 6
1796 2017 24
1797 34 75
1798 1709 48
1799 139 57
1800 1893 63
1801 675 24
1802 1585 18
1803 1008 66
1804 791 66
1805 1125 24
1806 980 72
1807 1545 15
1808 746 33
1809 2309 15
1810 410 3
1811 144 84
1812 1932 60
1813 277 18
1814 1279 57
1815 1754 3
1816 495 84
1817 1363 69
1818 172 48
1819 52 6
1820 53 21
1821 1108 81
1822 342 48
1823 1998 15
1824 652 45
1825 754 33
1826 805 6
1827 1134 27
1828 2 21
1829 1842 24
1830 1394 27
1831 1094 27
1832 1418 78
1833 363 63
1834 1654 58
1835 2193 46
1836 1830 51
1837 521 63
1838 276 12
1839 2194 54
1840 339 48
1841 1989 24
1842 1444 51
1843 1153 6
1844 109 42
1845 1175 15
1846 1151 18
1847 1107 12
1848 1079 6
1849 968 39
1850 1851 54
1851 885 9
1852 2293 48
1853 239 36
1854 507 69
1855 1635 78
1856 1760 69
1857 1373 51
1858 1103 39
1859 956 75
1860 1998 15
1861 1753 72
1862 208 9
1863 1528 63
1864 459 33
1865 1640 30
1866 2188 33
1867 660 78
1868 2199 60
1869 1623 36
1870 530 39
1871 115 54
1872 1267 6
1873 893 15
1874 1334 84
1875 1590 30
1876 505 48
1877 1819 63
1878 903 66
1879 1689 45
1880 2104 66
1881 1054 15
1882 1301 9
1883 600 18
1884 265 63
1885 1414 42
1886 209 9
1887 1455 6
1888 1011 51
1889 16 15
1890 1111 60
1891 501 66
1892 136 39
1893 1138 6
1894 992 72
1895 445 27
1896 2205 27
1897 1895 54
1898 2122 9
1899 1196 15
1900 1702 9
1901 1883 54
1902 239 84
1903 2044 21
1904 855 75
1905 367 21
1906 1452 15
1907 1957 30
1908 643 6
1909 1577 72
1910 5 57
1911 1754 54
1912 2234 30
1913 956 45
1914 172 75
1915 2229 48
1916 803 21
1917 2086 6
1918 989 45
1919 567 18
1920 142 42
1921 2112 15
1922 1836 30
1923 1888 18
1924 1317 63
1925 2021 27
1926 2252 6
1927 123 30
1928 1834 30
1929 1965 12
1930 1894 33
1931 999 6
1932 2282 15
1933 408 54
1934 346 66
1935 1988 48
1936 183 57
1937 1951 63
1938 2207 66
1939 2255 15
1940 2108 30
1941 1357 45
1942 1837 24
1943 1211 60
1944 671 54
1945 1316 27
1946 944 3
1947 1547 6
1948 1939 18
1949 1862 9
1950 881 15
1951 1683 63
1952 1946 6
1953 2306 51
1954 874 3
1955 2209 63
1956 2235 15
1957 1787 48
1958 166 63
1959 202 63
1960 1899 39
1961 1125 51
1962 1382 18
1963 2179 75
1964 700 39
1965 2219 51
1966 620 81
1967 1695 36
1968 1623 60
1969 1001 6
1970 926 18
1971 1829 42
1972 478 36
1973 1895 57
1974 881 6
1975 200 6
